seed,recall@5,recall@10,recall@15,recall@20,ndcg@5,ndcg@10,ndcg@15,ndcg@20,precision@5,precision@10,precision@15,precision@20,map@5,map@10,map@15,map@20
1078,0.08477984760831818,0.1265372282084526,0.1538910196958079,0.17770661959249345,0.08502024159294908,0.09870471036757932,0.1078836582787912,0.11551399869454707,0.056632860040567064,0.043458417849900094,0.036355645706557284,0.03206389452332843,0.05603986364660801,0.058938480820169455,0.0611609265339013,0.06292778703625149
1079,0.0852191613696864,0.1263995636323911,0.15387534281813675,0.1774700538694373,0.08512101258772613,0.0986610873429628,0.10787887203164409,0.11548652116830103,0.05665314401622631,0.04339756592292237,0.0363083164300191,0.03205882352941362,0.05607336037863419,0.058970455279812824,0.06118056391942312,0.06294817968868743
1080,0.08535381008898137,0.1260261610665113,0.15312713037100373,0.17818966429501462,0.08509740155785324,0.09851086456777891,0.10762106081203122,0.1155941765537001,0.05661257606490783,0.04341784989858161,0.03627450980392038,0.03211460446247652,0.056094714897453185,0.05889145631113209,0.06110425113723481,0.06293221259143736
1081,0.08516913232961289,0.12571811519335116,0.1536935368737596,0.17761887396778014,0.08523070200592323,0.09854844749474008,0.1079939341396991,0.11567987238548272,0.056572008113589374,0.04321501014198929,0.036355645706557284,0.032099391480732084,0.05621120689655164,0.059024154169969166,0.06130864308624994,0.06309129199912748
1082,0.08512077192071152,0.12602257224909075,0.15382190557126,0.1775736486793654,0.08513467803144731,0.09862171502395643,0.10790135268903929,0.11549453616117038,0.05661257606490781,0.0433975659229224,0.03631507775523884,0.03198782961460631,0.056155594996619304,0.05903223521209223,0.061260082076286276,0.06301240814214867
1083,0.08544808884539154,0.12556029231314403,0.1537651537225134,0.17747564256774057,0.08552324392559596,0.09867159951221036,0.10811991004079886,0.11569758680618818,0.05679513184584091,0.04331643002028546,0.03636240703177703,0.03201318458418035,0.05645486815415819,0.059166248363968624,0.061464783231462455,0.06321935206182955
1084,0.08494541411191274,0.12619484118812033,0.1534871810822207,0.17722457812473022,0.08512945974351586,0.09870350773169644,0.10786130836875597,0.11550737212497378,0.05655172413793014,0.04335699797160392,0.036247464503041414,0.032003042596350735,0.0561421005183682,0.05902822479566515,0.06125504313519067,0.06301477587709278
1085,0.08479147550173925,0.1265420306302478,0.15331955982483336,0.1774332618851375,0.08507394426572511,0.09888284844534423,0.10784837617063633,0.11560828507410639,0.05638945233265627,0.043468559837729716,0.03624070317782166,0.032043610547669195,0.056170131845841714,0.059149770029339736,0.06127771312549842,0.06307437216411244
1086,0.08486210505606093,0.1259031635774588,0.15388835169601614,0.17745636803668208,0.08496083595009593,0.09848738414223951,0.10786296830599175,0.11544786980669137,0.05647058823529321,0.04331643002028548,0.03632860040567833,0.032038539553754374,0.0560260029299075,0.058890328593122813,0.06116869344638794,0.06292310839533917
1087,0.08538329057264317,0.12624446424553679,0.15359918017173105,0.1776261266237983,0.0851435578280559,0.09855478854588498,0.10768859132314286,0.1154434659836433,0.05675456389452245,0.043427991886411235,0.03625422582826114,0.03208417849898766,0.05607448726617077,0.05889421579615223,0.061087946551604703,0.0628796809515504
1088,0.08520703196979387,0.1262255787344835,0.15338217517509556,0.17771547526584744,0.0853417555010138,0.09883689028422456,0.10792657705105257,0.11573791285138672,0.05673427991886322,0.043427991886411235,0.036247464503041414,0.03207403651115804,0.05627662271805265,0.05917551893043272,0.06138771647146092,0.06317971568833124
1089,0.08540915750007234,0.1259017634747221,0.15358141008883672,0.17750350893275837,0.08539168899225127,0.09865480259306014,0.10793202100338722,0.1156240214651952,0.056855983772818613,0.04333671399594467,0.03627450980392038,0.03203346855983958,0.05627856659905335,0.059104886973946474,0.06135036881283921,0.06312800721838219
1090,0.08487642862283654,0.1263116023896534,0.15372264410735095,0.17790880958137512,0.08485564868315829,0.09855479486174883,0.10769511097607462,0.11548516683335393,0.05649087221095245,0.04342799188641125,0.03624070317782166,0.032084178498987634,0.05590446810908263,0.05884921749670471,0.06102949786203902,0.0628387616097627
1091,0.08545127725119522,0.1261968604829662,0.15376208872586497,0.1777691990829504,0.0852603715766004,0.09862648336852783,0.10785832106469563,0.11554101521714119,0.056754563894522464,0.043407707910752026,0.03632860040567833,0.03205375253549881,0.05617745661482978,0.058976438084812254,0.06120265438112502,0.06297790504007102
