edge_id,user_id,item_id,original_edge_weight,cosine_similarity
326,15,300,0.972156703,0.999536455
327,15,301,0.925191522,0.99958384
328,15,278,0.991902649,0.999873102
329,15,302,0.988390684,0.999563515
330,15,303,0.988889813,0.999421239
331,16,192,0.954004049,0.999962628
332,16,304,0.965872228,0.999991
333,16,305,0.976321638,0.999991834
334,16,306,0.991807997,0.999988496
335,16,205,0.989746094,0.999992132
336,16,307,0.970553875,0.999982297
337,16,308,0.994296968,0.99998641
338,16,309,0.990123212,0.999960482
339,16,310,0.990617335,0.999976456
340,16,311,0.954361677,0.999973714
341,16,312,0.988744259,0.999976516
342,16,131,0.974089026,0.999996483
343,16,313,0.989948392,0.999989808
344,16,250,0.973737121,0.999990463
345,16,314,0.982977629,0.999979138
346,16,207,0.967997611,0.999989629
347,16,315,0.991307199,0.999966741
348,16,316,0.989925027,0.999974012
349,16,317,0.989505589,0.999991775
350,16,318,0.990446448,0.999970078
351,16,319,0.985919833,0.999991238
352,16,254,0.969634652,0.999984384
353,16,320,0.982017219,0.999967396
354,16,293,0.990535676,0.999993324
355,16,321,0.98596257,0.999987483
356,16,322,0.970633984,0.999974728
357,16,222,0.991535187,0.999989927
358,16,323,0.983211935,0.999985516
359,16,324,0.972610295,0.999975979
360,16,325,0.96331048,0.999977767
361,16,326,0.984336913,0.999992609
362,16,327,0.976357639,0.99998641
363,16,328,0.981923282,0.999953389
364,16,329,0.979443014,0.999989867
365,16,330,0.994427681,0.999979556
366,16,331,0.973911881,0.999989033
367,16,332,0.980160415,0.999983907
368,16,256,0.966292024,0.999984145
369,16,333,0.973305643,0.999985754
370,16,334,0.993225157,0.999989748
371,16,335,0.98977381,0.999984682
372,16,258,0.992823482,0.999962211
373,16,336,0.990539074,0.999969304
374,16,337,0.989483774,0.999989688
375,16,338,0.970413446,0.999988616
376,16,226,0.991141319,0.999990404
377,16,339,0.990529478,0.999976099
378,16,295,0.98957777,0.999980986
379,16,340,0.988856614,0.999987125
380,16,196,0.991908967,0.999989092
381,16,341,0.973388195,0.999955893
382,16,260,0.968560338,0.999985456
383,16,342,0.958737493,0.999988556
384,16,296,0.835744202,0.999986529
385,16,343,0.971260488,0.999987245
386,16,209,0.875566363,0.99999398
387,16,344,0.798363864,0.999993145
388,16,210,0.922148645,0.999974012
389,16,345,0.732509136,0.999991834
390,16,346,0.98421669,0.999969065
391,16,347,0.937005758,0.999992013
392,16,348,0.980594575,0.999981761
393,16,349,0.981373727,0.999983609
394,16,350,0.97021848,0.999981582
395,16,351,0.949432015,0.999990821
396,16,352,0.971211731,0.999939263
397,16,353,0.975022733,0.999946415
398,16,354,0.977527142,0.999979854
399,16,355,0.985153079,0.999985635
400,16,267,0.974954367,0.999986708
401,16,356,0.974229813,0.999982238
402,16,357,0.898453236,0.999975204
403,16,358,0.987726152,0.999978304
404,16,359,0.988999188,0.999978304
405,16,360,0.984532773,0.999970317
406,16,361,0.972442389,0.999981761
407,16,362,0.98863554,0.99998194
408,16,363,0.986323595,0.999988198
409,16,364,0.956947207,0.999981701
410,16,365,0.988678157,0.999973476
411,16,366,0.954403222,0.999976277
412,16,367,0.980563939,0.999973297
413,16,368,0.87753135,0.999986708
414,16,369,0.988049924,0.99995482
415,16,370,0.979520321,0.999983788
416,16,371,0.749728024,0.999995351
417,16,22,0.971391737,0.999975324
418,16,372,0.957704246,0.999964058
419,16,373,0.929147661,0.999987423
420,16,374,0.974408209,0.999983668
421,16,375,0.960343182,0.999981046
422,16,376,0.973863959,0.999980211
423,16,377,0.747144103,0.99999547
424,16,298,0.472156346,0.999991596
425,16,378,0.987594843,0.999993324
426,16,379,0.941544831,0.999970436
427,16,230,0.953492939,0.999983609
428,16,380,0.971751034,0.999970198
429,16,381,0.860135734,0.999987841
430,16,382,0.932121634,0.999965787
431,16,383,0.978131354,0.999945521
432,16,176,0.992640555,0.999975264
433,16,231,0.976611555,0.999957979
434,16,384,0.991887867,0.99998641
435,16,385,0.970403314,0.999982953
436,16,386,0.989837229,0.99997437
437,16,270,0.98854816,0.99998033
438,16,142,0.981813192,0.999980569
439,16,387,0.992361128,0.999978185
440,16,388,0.980341971,0.999986053
441,16,389,0.921098888,0.999971569
442,16,273,0.987824559,0.99998194
443,16,390,0.943008006,0.999977648
444,16,391,0.979861975,0.999982119
445,16,392,0.970439732,0.999964178
446,16,393,0.958940506,0.999964595
447,16,394,0.986441433,0.99998033
448,16,395,0.992672503,0.999974728
449,16,396,0.993771851,0.999981165
450,16,397,0.986532927,0.99997437
451,16,398,0.989045799,0.999979377
452,16,399,0.983740747,0.999970734
453,16,400,0.989403129,0.999983013
454,16,401,0.988287866,0.99998337
455,16,402,0.978844583,0.999970555
456,16,278,0.981151044,0.999994516
457,16,403,0.992490828,0.999984384
458,16,404,0.925802052,0.99999094
459,16,405,0.962749422,0.999972761
460,16,406,0.93748498,0.999977827
461,16,407,0.853917956,0.999987483
462,16,408,0.980846703,0.999986768
463,16,409,0.948446393,0.999994338
464,16,410,0.965116441,0.99994725
465,16,217,0.911879838,0.999984741
466,16,411,0.916105032,0.999980092
467,16,412,0.953222752,0.999949455
468,16,413,0.940122724,0.999960303
469,16,414,0.725684762,0.999969244
470,16,415,0.962759018,0.999967694
471,16,416,0.965303183,0.999976039
472,16,417,0.96049422,0.999973476
473,16,418,0.960734844,0.999984503
474,16,419,0.856008887,0.999952078
475,16,420,0.952228546,0.999944091
476,16,421,0.964566946,0.999988735
477,16,422,0.909637094,0.999965489
478,16,423,0.86367923,0.999982834
479,16,424,0.916875362,0.99997437
480,16,425,0.969545662,0.999949932
481,16,202,0.951268077,0.999982357
482,16,426,0.720545888,0.999990046
483,16,427,0.955591559,0.999953985
484,16,203,0.21949181,0.999999106
485,16,428,0.937324882,0.999981999
486,16,429,0.685699642,0.99998498
487,16,430,0.809530377,0.999976814
488,16,219,0.96374619,0.999975204
489,16,290,0.907179892,0.999980688
490,16,431,0.970062435,0.999914706
491,16,432,0.979043245,0.999952435
492,16,433,0.875249088,0.999957561
493,17,434,0.929381132,0.999967277
494,17,435,0.981359601,0.999954939
495,17,306,0.973916054,0.999964118
496,17,193,0.981429517,0.999921262
497,17,436,0.969891131,0.999949574
498,17,437,0.99112016,0.99997896
499,17,250,0.960309744,0.999970198
500,17,438,0.990323901,0.999961138
501,17,439,0.991662979,0.999978065
502,17,440,0.990049362,0.999962807
503,17,317,0.989190936,0.999973297
504,17,441,0.987674415,0.999947906
505,17,442,0.96335429,0.999935627
506,17,443,0.98944664,0.999958575
507,17,444,0.980879128,0.999945641
508,17,326,0.986965418,0.99997592
509,17,445,0.993668497,0.999959886
510,17,255,0.926668346,0.99998188
511,17,446,0.982403517,0.99994719
512,17,447,0.981579065,0.999937654
513,17,338,0.905895829,0.999967694
514,17,448,0.90612942,0.999941349
515,17,449,0.922353148,0.999942183
516,17,450,0.947011948,0.999965429
517,17,451,0.980494618,0.99994427
518,17,343,0.755550265,0.99997431
519,17,297,0.973276854,0.999965072
520,17,452,0.940439165,0.999749184
521,17,347,0.868593276,0.999977827
522,17,453,0.56975913,0.999981761
523,17,454,0.933016002,0.999931693
524,17,455,0.269302458,0.999992967
525,17,456,0.92847681,0.999929011
526,17,351,0.952501476,0.999970198
527,17,457,0.947348595,0.99989146
528,17,458,0.970304549,0.99997282
529,17,267,0.844308436,0.999968112
530,17,363,0.981914997,0.999961853
531,17,370,0.55264014,0.999983013
532,17,459,0.977026761,0.999926746
533,17,460,0.960359097,0.999897718
534,17,461,0.945236564,0.999926746
535,17,462,0.95600158,0.999973059
536,17,463,0.949332654,0.999885798
537,17,464,0.962709546,0.999933481
538,17,465,0.954844415,0.999916375
539,17,466,0.95612067,0.999903679
540,17,268,0.979760647,0.999976039
541,17,467,0.91129303,0.999933183
542,17,468,0.94629693,0.999955773
543,17,469,0.956241965,0.99993813
