user_id,selected_test_positive_item,test_positive_count,train_degree,listwise_jsd_mean,listwise_jsd_std_across_permutations,original_positive_probability,permuted_positive_probability_mean,positive_probability_change
131,4946,5,39,0.126640543342,0.0214080754668,0.0189154502004,0.0671963021159,0.0482808500528
132,763,12,28,0.0703369900584,0.0165483374149,0.134431749582,0.0836177989841,-0.0508139505982
133,2217,18,34,0.0932315513492,0.0136619945988,0.0223821345717,0.0130056515336,-0.00937648303807
134,2133,8,15,0.174837648869,0.0420266166329,0.0289572812617,0.0403326414526,0.0113753601909
135,3974,2,12,0.0892367586493,0.0237109214067,0.0272284299135,0.0420257151127,0.0147972851992
136,4843,13,35,0.155013382435,0.0174870248884,0.0780008733273,0.0236186478287,-0.0543822273612
137,1827,3,8,0.0567848794162,0.0171193890274,0.0824142172933,0.0730124935508,-0.00940172374249
138,3828,33,71,0.119645185769,0.0367847196758,0.0259471349418,0.0255685728043,-0.000378562137485
139,2444,11,29,0.102370627224,0.00935028959066,0.00976130086929,0.00592699693516,-0.00383430393413
140,6045,2,6,0.101056903601,0.0352818183601,0.044227398932,0.0326747074723,-0.0115526914597
141,2151,7,18,0.0968262553215,0.0401811636984,0.0054091559723,0.0500450879335,0.0446359328926
142,2129,4,8,0.183285459876,0.0739344656467,0.000726034806576,0.00477059790865,0.00404456304386
143,5863,3,5,0.0499801523983,0.0071915211156,0.361469358206,0.341536641121,-0.0199327170849
145,228,4,6,0.0971352458,0.0300125759095,0.00131554226391,0.00324096996337,0.00192542769946
146,7139,8,16,0.0756396278739,0.0225792136043,0.00142537674401,0.00147623708472,5.0860340707e-05
147,7931,1,4,0.133046299219,0.0419240891933,0.0326287709177,0.0347907841206,0.00216201320291
148,9299,28,72,0.109928555787,0.0201989486814,0.0178931485862,0.00994950719178,-0.00794364139438
149,355,6,17,0.121154822409,0.026400687173,0.154122442007,0.0249909814447,-0.12913146615
150,1381,2,30,0.132194027305,0.00803905073553,0.000244865834247,0.00129373173695,0.00104886596091
151,880,12,37,0.176318585873,0.0324840098619,0.034637466073,0.0892855152488,0.0546480491757
152,6723,42,158,0.0252036005259,0.00326966517605,0.00131311034784,0.00114788522478,-0.000165225123055
153,4964,2,12,0.138219222426,0.0567493699491,0.0118320556358,0.0174251366407,0.00559308100492
